79,NPFMCRFBK,2.1,2.1,2.11,2.1,0.47,2.1,-,0.48,29,"2,444,589","5,070,283.01"
80,NSLTECH,0.28,0.28,-,-,-,0.28,-,-,1,"5,000","1,400.00"
81,OANDO,9.65,9.65,9.6,9,6.25,9.6,-0.05,-0.52,182,"4,766,979","44,168,319.15"
82,OKOMUOIL,236.8,236.8,-,-,-,236.8,-,-,31,"24,318","6,063,591.60"
83,OMATEK,0.52,0.52,0.57,0.54,5.26,0.57,0.05,9.62,76,"9,750,010","5,527,034.79"
84,PRESCO,190,190,-,-,-,190,-,-,29,"73,591","14,094,928.20"
85,PRESTIGE,0.41,0.41,0.45,0.45,-,0.45,0.04,9.76,5,"460,685","207,289.25"
86,PZ,22,22,21.05,20.7,1.66,21.05,-0.95,-4.32,123,"4,076,464","87,744,394.20"
87,REDSTAREX,3.27,3.27,3.28,3.27,0.3,3.28,0.01,0.31,18,"344,084","1,116,821.59"
88,REGALINS,0.35,0.35,0.35,0.35,-,0.35,-,-,5,"291,064","101,162.76"
89,ROYALEX,0.49,0.49,0.49,0.49,-,0.49,-,-,15,"4,070,850","1,995,377.26"
90,RTBRISCOE,0.47,0.47,0.51,0.47,7.84,0.51,0.04,8.51,39,"3,174,755","1,578,379.61"
91,SCOA,1.25,1.25,1.13,1.13,-,1.13,-0.12,-9.6,2,"201,940","228,192.20"
92,SEPLAT,"1,980.10","1,980.10",-,-,-,"1,980.10",-,-,28,"3,518","7,516,672.10"
93,SKYAVN,25.35,25.35,-,-,-,25.35,-,-,1,125,"3,168.75"
94,SOVRENINS,0.33,0.33,0.33,0.31,6.06,0.33,-,-3.03,22,"3,831,717","1,229,543.21"
95,STANBIC,70,70,-,-,-,70,-,-,33,"11,091","761,353.10"
96,STERLINGNG,3.5,3.5,3.6,3.53,1.94,3.6,0.1,2.86,88,"5,483,315","19,546,895.04"
97,SUNUASSUR,0.94,0.94,-,-,-,0.94,-,-,7,"175,861","164,685.09"
98,TANTALIZER,0.38,0.38,0.41,0.38,7.32,0.38,-,7.89,34,"4,071,945","1,640,938.95"
99,THOMASWY,4.07,4.07,3.72,3.72,-,3.72,-0.35,-8.6,52,"771,217","3,031,410.74"
100,TIP,1.03,1.03,1.12,1.03,8.04,1.07,0.04,3.88,22,"4,457,112","4,735,558.07"
101,TOTAL,385,385,-,-,-,385,-,-,19,"7,442","2,647,488.30"
102,TRANSCOHOT,44.4,44.4,-,-,-,44.4,-,-,10,924,"37,825.96"
103,TRANSCORP,6.22,6.22,6.24,6.2,0.64,6.2,-0.02,-0.32,169,"5,369,513","33,354,463.48"
104,TRANSEXPR,1.05,1.05,-,-,-,1.05,-,-,5,"1,442","1,543.90"
105,UACN,15.7,15.7,14.75,14.75,-,14.75,-0.95,-6.05,44,"1,082,272","15,802,465.85"
106,UBA,20.45,20.45,20.75,20.35,1.93,20.75,0.3,1.47,597,"53,724,017","1,099,646,366.55"
107,UBN,6.5,6.5,-,-,-,6.5,-,-,18,"106,582","701,445.30"
108,UCAP,16.35,16.35,16.35,16.3,0.31,16.3,-0.05,-0.31,89,"2,215,300","36,173,955.55"
109,UHOMREIT,36.6,36.6,-,-,-,36.6,-,-,2,52,"1,713.40"
110,UNILEVER,13.8,13.8,-,-,-,13.8,-,-,38,"111,406","1,542,330.35"
111,UNIONDICON,8.1,8.1,-,-,-,8.1,-,-,1,206,"1,689.20"
112,UNITYBNK,1,1,1,0.91,9,0.93,-0.07,-7,108,"18,028,760","16,860,748.53"
113,UNIVINSURE,0.23,0.23,0.24,0.22,8.33,0.24,0.01,4.35,55,"43,685,132","10,194,024.41"
114,UPDC,1.21,1.21,1.21,1.09,9.92,1.11,-0.1,-8.26,56,"10,378,785","11,739,427.85"
115,UPDCREIT,3.65,3.65,3.6,3.35,6.94,3.6,-0.05,-1.37,37,"1,559,284","5,389,718.85"
116,UPL,2.33,2.33,-,-,-,2.33,-,-,1,"2,760","6,210.00"
117,VERITASKAP,0.27,0.27,0.27,0.26,3.7,0.27,-,-3.7,33,"5,916,070","1,541,962.53"
118,VFDGROUP,205,205,-,-,-,205,-,-,21,"7,439","1,372,609.50"
119,VITAFOAM,22.9,22.9,-,-,-,22.9,-,-,22,"28,858","644,962.40"
120,WAPCO,29,29,29.4,29.4,-,29.4,0.4,1.38,114,"2,130,523","62,133,256.50"
121,WAPIC,0.7,0.7,0.74,0.7,5.41,0.74,0.04,5.71,47,"3,157,284","2,224,432.57"
122,WEMABANK,4.97,4.97,4.99,4.99,-,4.99,0.02,0.4,49,"2,291,579","11,409,295.15"
123,ZENITHBANK,33.3,33.3,33.35,33.2,0.45,33.2,-0.1,-0.3,287,"5,119,290","170,340,085.95"
